"State","Permit_ID","Permittee","Mine_Name","Highwall_IDs","Highwall_Length","Highwall_Cost_Min","Highwall_Cost_Mid","Highwall_Cost_Max","Avail_Bond","Full_Bond","Min_Deficit","Mid_Deficit","Max_Deficit","Mine_Status","Bond_Status","Acres","Post_SMCRA"
"Kentucky","8670561","4TH GEN FUELS, LLC","","[706, 709, 701]",531.04125875,228185.714003,342278.57106,456371.42801,3451800,3451800,-3223614.285997,-3109521.42894,-2995428.57199,"Actively Producing","Bonded",895.6153266,NA
"Kentucky","8670498","A & G COAL CORPORATION","Job 4","[661, 662, 664]",1545.91107495,666341.0103283,999511.515538,1332682.020699,2169300,2169300,-1502958.9896717,-1169788.484462,-836617.979301,"Surety Reclamation","Bonded",698.1770985,1
"Kentucky","8985097","ADVANCED FUEL CO","","[1430, 1429]",674.45152867,203957.348869,305936.023313,407914.697756,0,0,203957.348869,305936.023313,407914.697756,"Permit Released","Released",1302.705827,1
"Kentucky","8980652","AEP KENTUCKY COAL LLC","","[1275, 1270]",992.18340246,597458.16777,896187.251679,1194916.335439,0,0,597458.16777,896187.251679,1194916.335439,"Permit Released","Released",1086.488903,1
"Kentucky","9180461","AMERICAN HIGHWALL MINING LLC","Corbin By-Pass Mine","[147]",325.19312118,136500.101918,204750.152858,273000.20383,151500,151500,-14999.898082,53250.152858,121500.20383,"Active Operations","Bonded",194.0353738,1
"Kentucky","8980602","APEX ENERGY INC","HURRICANE FORK STRIP","[1411]",277.11232367,75844.1633,113766.24495,151688.32661,0,0,75844.1633,113766.24495,151688.32661,"Permit Released","Released",671.2389607,1
"Kentucky","8480094","APOGEE COAL COMPANY","","[613]",114.3739669,29261.79467,43892.692,58523.58933,0,0,29261.79467,43892.692,58523.58933,"Permit Released","Released",218.7267408,1
"Kentucky","8365626","APPALACHIAN MINING AND RECLAMATION LLC","","[878]",310.98247592,60484.093395,90726.140083,120968.18678,246000,246000,-185515.906605,-155273.859917,-125031.81322,"Voluntary Forfeiture","Forfeited",96.31017063,1
"Kentucky","8981087","ARC KENTUCKY RESOURCES, LLC","","[1103, 1104]",311.7439554,150883.65671,226325.48506,301767.31342,627500,627500,-476616.34329,-401174.51494,-325732.68658,"Active Operations","Bonded",159.5509592,NA
"Kentucky","8981084","ARC KENTUCKY RESOURCES, LLC","","[1123, 1111, 1118, 1095, 1121]",1769.42614707,741004.532394,1111506.798575,1482009.064872,1012100,1012100,-271095.467606,99406.7985749999,469909.064872,"Active Operations","Bonded",556.7499127,NA
"Kentucky","8984668","ARC KENTUCKY RESOURCES, LLC","","[1105]",376.57837182,145082.3838393,217623.575745,290164.767681,99600,99600,45482.3838393,118023.575745,190564.767681,"Active Temporary Cessation","Bonded",182.4570641,NA
"Kentucky","8640165","ARGUS ENERGY LLC","","[1038]",184.1208663,57680.34445,86520.51668,115360.6889,0,0,57680.34445,86520.51668,115360.6889,"Permit Released","Released",106.9526656,1
"Kentucky","8970288","B & G COAL SALES","","[291, 294, 295, 296, 293]",881.07012426,314121.88508,471182.82762,628243.77009,0,0,314121.88508,471182.82762,628243.77009,"Permit Released","Released",135.2602735,1
"Kentucky","8260681","B & W RESOURCES, INC.","Joshua L. Wagers (Mine #1)","[252]",118.8323801,49587.37089,74381.05634,99174.74179,94000,94000,-44412.62911,-19618.94366,5174.74179,"Non-Disturbed","Bonded",170.2060684,1
