"Highwall_ID","State","Num_Segments","Rec_Status","Rec_Status_Yr","Earliest_Vis_Yr","First_Mined_Yr","Last_Mined_Yr","Max_Age","Min_Age","Mid_Age","Age_Uncertainty","Raw_Length","Length","Max_Top_Elevation","Min_Base_Elevation","Avg_Height","Min_Cost","Mid_Cost","Max_Cost","Lidar_Yr","Lidar_Project","All_Permit_IDs","Max_Slope","Mean_Slope","Med_Slope","Permit_ID","Permittee","Mine_Name","Avail_Bond","Full_Bond","Mine_Status","Bond_Status","Post_SMCRA"
147,"Kentucky",5,"Unreclaimed",2024,1997,2021,2023,27,27,27,0,344.61681474,325.19312118,441.1032625,413.4545745,14.4536905816,136500.101918,204750.152858,273000.20383,2023,1,"[333674X, 9180461]",61,50.609375,51,"9180461","AMERICAN HIGHWALL MINING LLC","Corbin By-Pass Mine",151500,151500,"Active Operations","Bonded",1
149,"Kentucky",2,"Unreclaimed",2024,1997,1986,1988,39,27,33,6,95.0925889,89.72259453,428.1903469,406.8004012,17.91569525,47579.89029,71369.83543,95159.78057,2023,1,"[270773X, 9185059]",60,52.08333333,54.5,"270773X","","",0,0,"","Not Bonded",0
150,"Kentucky",5,"Unreclaimed",2024,1997,1985,1989,40,27,33.5,6.5,461.49551831,437.09798418,422.0819089,406.1369324,13.061149714,123225.7633,184838.64494,246451.52659,2023,1,"[270773X]",62,52.15789474,52,"270773X","","",0,0,"","Not Bonded",0
152,"Kentucky",2,"Unreclaimed",2024,1997,1987,1993,38,27,32.5,5.5,178.00833686,168.57924981,415.0505988,398.100078,14.965150835,62020.77077,93031.15615,124041.54154,2023,1,"[474476X, 9185139]",60,51,49.5,"474476X","","",0,0,"","Not Bonded",0
153,"Kentucky",2,"Unreclaimed",2024,2013,2011,2018,14,11,12.5,1.5,166.84959472,160.38120436,553.6629395,537.9300732,14.62315209,56713.09744,85069.64616,113426.19488,2023,1,"[257573X, Unknown, 9180446]",59,51.90909091,52,"Unknown","","",0,0,"","Not Bonded",0
154,"Kentucky",3,"Unreclaimed",2024,2018,2017,2020,8,6,7,1,280.32332536,268.53811843,405.341963,387.9312191,15.1812293333333,101814.24582,152721.36872,203628.49162,2023,1,"[270771X, 9180472, 9185127]",58,51.11111111,51,"9180472","FERROGLOBE USA MINING, LLC","Colonel Hollow",0,0,"Permit Released","Released",1
155,"Kentucky",5,"Unreclaimed",2024,2018,2017,2019,8,6,7,1,500.87279733,477.10467007,419.9724426,391.4486891,14.0387131978,179006.166122,268509.249197,358012.332213,2023,1,"[9180472, 9185127]",62,53.49367089,55,"9180472","FERROGLOBE USA MINING, LLC","Colonel Hollow",0,0,"Permit Released","Released",1
156,"Kentucky",2,"Unreclaimed",2024,2018,2017,2020,8,6,7,1,190.9400352,183.55561782,411.2152466,395.1607901,14.30588252,63037.40503,94556.10755,126074.81007,2023,1,"[9180472, 9185127]",59,50.21875,51,"9180472","FERROGLOBE USA MINING, LLC","Colonel Hollow",0,0,"Permit Released","Released",1
159,"Kentucky",2,"Revegetated",2024,1997,1984,1991,41,27,34,7,205.5338342,194.16097675,554.304267,534.0835846,17.239592185,98144.57264,147216.85901,196289.14531,2023,1,"[1180205]",63,53.08571429,53,"1180205","STEEL HOLLOW MINING COMPANY INC","",0,0,"Permit Released","Released",0
162,"Kentucky",1,"Revegetated",2024,1997,1986,1988,39,27,33,6,142.395273,137.1797524,401.059344,387.2266255,13.83271851,42914.74099,64372.11148,85829.48197,2023,1,"[0610122, 250772X]",60,52.7,53,"610122","BRENDA COAL INC","",0,0,"Permit Released","Released",NA
