"Permit_ID","Permittee","Mine_Name","Orig_Bond","Curr_Bond","Avail_Bond","Mine_Status","Bond_Status","Highwall_Comp","Highwall_Viol","Highwall_Total","Acres","Issue_Date","Per_Type","Type_Flag","Post_SMCRA","Full_Bond","Highwall_IDs","Highwall_Length","Highwall_Cost_Min","Highwall_Cost_Mid","Highwall_Cost_Max","Min_Deficit","Mid_Deficit","Max_Deficit"
"8670561","4TH GEN FUELS, LLC","",6220400,3451800,3451800,"Actively Producing","Bonded",3100,0,3100,895.6153266,2021-08-06,"PERMANENT","ACT",NA,3451800,"[706, 709, 701]",531.04125875,228185.714003,342278.57106,456371.42801,-3223614.285997,-3109521.42894,-2995428.57199
"8670498","A & G COAL CORPORATION","Job 4",4677900,2169300,2169300,"Surety Reclamation","Bonded",0,5100,5100,698.1770985,2011-12-22,"PERMANENT","ACT",1,2169300,"[661, 662, 664]",1545.91107495,666341.0103283,999511.515538,1332682.020699,-1502958.9896717,-1169788.484462,-836617.979301
"8985097","ADVANCED FUEL CO","",21642,0,0,"Permit Released","Released",NA,NA,NA,1302.705827,1984-08-21,"PERMANENT","INACT",1,0,"[1430, 1429]",674.45152867,203957.348869,305936.023313,407914.697756,203957.348869,305936.023313,407914.697756
"8980652","AEP KENTUCKY COAL LLC","",1971900,0,0,"Permit Released","Released",NA,NA,NA,1086.488903,2002-04-15,"PERMANENT","INACT",1,0,"[1275, 1270]",992.18340246,597458.16777,896187.251679,1194916.335439,597458.16777,896187.251679,1194916.335439
"9180461","AMERICAN HIGHWALL MINING LLC","Corbin By-Pass Mine",151500,151500,151500,"Active Operations","Bonded",0,0,0,194.0353738,2017-09-27,"PERMANENT","ACT",1,151500,"[147]",325.19312118,136500.101918,204750.152858,273000.20383,-14999.898082,53250.152858,121500.20383
"8980602","APEX ENERGY INC","HURRICANE FORK STRIP",2106700,0,0,"Permit Released","Released",NA,NA,NA,671.2389607,2000-10-23,"PERMANENT","INACT",1,0,"[1411]",277.11232367,75844.1633,113766.24495,151688.32661,75844.1633,113766.24495,151688.32661
"8480094","APOGEE COAL COMPANY","",1562400,0,0,"Permit Released","Released",NA,NA,NA,218.7267408,1986-12-18,"PERMANENT","INACT",1,0,"[613]",114.3739669,29261.79467,43892.692,58523.58933,29261.79467,43892.692,58523.58933
"8365626","APPALACHIAN MINING AND RECLAMATION LLC","",246000,0,246000,"Voluntary Forfeiture","Forfeited",NA,NA,NA,96.31017063,2013-04-19,"PERMANENT","INACT",1,246000,"[878]",310.98247592,60484.093395,90726.140083,120968.18678,-185515.906605,-155273.859917,-125031.81322
"8981087","ARC KENTUCKY RESOURCES, LLC","",627500,627500,627500,"Active Operations","Bonded",NA,NA,NA,159.5509592,2021-03-11,"PERMANENT","ACT",NA,627500,"[1103, 1104]",311.7439554,150883.65671,226325.48506,301767.31342,-476616.34329,-401174.51494,-325732.68658
"8981084","ARC KENTUCKY RESOURCES, LLC","",3193600,1012100,1012100,"Active Operations","Bonded",0,4100,4100,556.7499127,2021-08-13,"PERMANENT","ACT",NA,1012100,"[1123, 1111, 1118, 1095, 1121]",1769.42614707,741004.532394,1111506.798575,1482009.064872,-271095.467606,99406.7985749999,469909.064872
"8984668","ARC KENTUCKY RESOURCES, LLC","",650200,99600,99600,"Active Temporary Cessation","Bonded",350,0,350,182.4570641,2021-04-01,"PERMANENT","ACT",NA,99600,"[1105]",376.57837182,145082.3838393,217623.575745,290164.767681,45482.3838393,118023.575745,190564.767681
"8640165","ARGUS ENERGY LLC","",304200,0,0,"Permit Released","Released",NA,NA,NA,106.9526656,2003-04-22,"PERMANENT","INACT",1,0,"[1038]",184.1208663,57680.34445,86520.51668,115360.6889,57680.34445,86520.51668,115360.6889
"8970288","B & G COAL SALES","",449800,0,0,"Permit Released","Released",NA,NA,NA,135.2602735,1987-12-29,"PERMANENT","INACT",1,0,"[291, 294, 295, 296, 293]",881.07012426,314121.88508,471182.82762,628243.77009,314121.88508,471182.82762,628243.77009
"8260681","B & W RESOURCES, INC.","Joshua L. Wagers (Mine #1)",26800,94000,94000,"Non-Disturbed","Bonded",NA,NA,NA,170.2060684,2012-07-03,"PERMANENT","ACT",1,94000,"[252]",118.8323801,49587.37089,74381.05634,99174.74179,-44412.62911,-19618.94366,5174.74179
