"Permit_ID","Permittee","Mine_Name","Bond_Amount","Avail_Bond","Bond_Type","Mine_Status","Bond_Status","Issue_Date","Acres","Anniversary","App_Date","App_No","Mine_Type","Post_SMCRA","Trans_From","Release_Date","Mountaintop","Underground","Steep_Slope","Auger_Mining","Non_AOC","Remining","Remining_Acres","Layer","Full_Bond","Highwall_IDs","Highwall_Length","Highwall_Cost_Min","Highwall_Cost_Mid","Highwall_Cost_Max","Min_Deficit","Mid_Deficit","Max_Deficit"
"1101914","A & G COAL CORPORATION","SAWMILL HOLLOW #3 MINE",5145000,5145000,"P","ACT/NOT PRDCNG","Bonded",2003-06-19,2777.92,2021-06-19,"2003/06/19",1008626,"Surface-Contour/Surf-Steep Slop/Surface - Auger/Surface - Auger",1,"1101854","","N","Y","Y","Y","N","Y",370.3,"CSMO_Permit_Boundaries",5145000,"[679, 670, 669, 667, 668, 672, 666, 685, 681, 695, 674]",3798.85782434,2206786.838729,3310180.25823,4413573.677511,-2938213.161271,-1834819.74177,-731426.322489001
"1102058","A & G COAL CORPORATION","BLACKWOOD STRIP",618000,618000,"P","ACT/NOT PRDCNG","Bonded",1984-07-20,205.2,2019-07-20,"1984/07/20",1009164,"Surface-Contour/Surf-Steep Slop/Surface - Area/RECLAIM ONLY",1,"1100583","","N","N","Y","N","N","Y",168.13,"CSMO_Permit_Boundaries",618000,"[883]",124.33272465,45128.204105,67692.30616,90256.40822,-572871.795895,-550307.69384,-527743.59178
"1502057","A & G COAL CORPORATION","STRAIGHT FORK SURFACE MINE",4698000,4698000,"P","ACT/NOT PRDCNG","Bonded",2001-06-04,1792.04,2021-06-04,"2001/06/04",1009762,"Surface-Contour/Surface - Area/Surface - Auger/AF-Refuse Disp/RECLAIM ONLY",1,"1501778","","N","Y","Y","Y","N","Y",373,"CSMO_Permit_Boundaries",4698000,"[849, 831, 840, 852, 816, 824]",704.20047089,349949.227995,524923.842012,699898.455986,-4348050.772005,-4173076.157988,-3998101.544014
"1101905","A & G COAL CORPORATION","LOONEY RIDGE SURFACE MINE #1",1559400,1559400,"P","ACT/NOT PRDCNG","Bonded",2004-04-05,1233.47,2019-04-05,"2004/04/05",1009043,"RECLAIM ONLY/Surface - Auger/Surface - Area/Surface-Contour/Undergrd. - R P",1,"","","N","Y","Y","Y","N","Y",429.39,"CSMO_Permit_Boundaries",1559400,"[675, 683, 686]",1054.78355436,1060931.92841,1591397.892576,2121863.856698,-498468.07159,31997.892576,562463.856698
"1102054","A & G COAL CORPORATION","MEG-LYNN MILL BRANCH MINE",1106200,1106200,"P","ACT/NOT PRDCNG","Bonded",1983-12-30,1279.73,2018-12-30,"1983/12/30",1009158,"Surface - Auger/RECLAIM ONLY/Surface-Contour",1,"1101804","","N","Y","Y","Y","N","Y",105.3,"CSMO_Permit_Boundaries",1106200,"[809, 810]",176.61478823,115315.30706,172972.96059,230630.61409,-990884.69294,-933227.03941,-875569.38591
"1102003","A & G COAL CORPORATION","POSSUM TROT SURFACE MINE",543000,543000,"P","ACT/NOT PRDCNG","Bonded",2007-09-21,387.47,2018-09-21,"2007/09/21",1008330,"RECLAIM ONLY/Surface - Area/Surface - Auger/Surface-Contour/Undergrd. - R P",1,"","","N","Y","Y","Y","N","Y",136.1,"CSMO_Permit_Boundaries",543000,"[790, 792]",405.51188274,187717.52508,281576.2876,375435.05012,-355282.47492,-261423.7124,-167564.94988
"1101991","A & G COAL CORPORATION","CRAIGER HOLLOW SURFACE MINE",519600,519600,"P","ACT/NOT PRDCNG","Bonded",2007-01-19,482.7,2020-01-19,"2007/01/19",1009877,"Surface-Contour/Surface - Auger/Surf-Steep Slop/Surface - Area",1,"","","N","Y","Y","Y","N","Y",233.1,"CSMO_Permit_Boundaries",519600,"[818]",233.3062258,168994.33069,253491.49601,337988.66137,-350605.66931,-266108.50399,-181611.33863
"1101918","A & G COAL CORPORATION","CANEPATCH SURFACE MINE",2220000,2220000,"P","ACT/NOT PRDCNG","Bonded",2004-07-08,751.86,2019-07-08,"2004/07/08",1009157,"Surf-Steep Slop/Surface - Auger/Surface - Area/Surface-Contour/RECLAIM ONLY",1,"","","N","Y","Y","Y","N","Y",86.93,"CSMO_Permit_Boundaries",2220000,"[848, 838]",2208.14661469,938989.368263,1408484.052414,1877978.736689,-1281010.631737,-811515.947586,-342021.263311
"1101975","A & G COAL CORPORATION","CANEPTACH/SARGENT HOLLOW SURFACE MINE, JOB 20A",2421600,2421600,"P","ACT/NOT PRDCNG","Bonded",2006-06-20,913.84,2021-06-20,"2006/06/20",1006642,"Surface - Area/Surface - Auger/RECLAIM ONLY",1,"","","N","Y","Y","Y","N","Y",535.07,"CSMO_Permit_Boundaries",2421600,"[895]",383.81593457,220352.19819,330528.2973,440704.39639,-2201247.80181,-2091071.7027,-1980895.60361
"1101669","A & G COAL CORPORATION","STRIP #6",0,0,"P","Released","Released",1998-12-10,0,1999-12-10,"",NA,"Surface - Area/Surface - Auger",NA,"","","N","","Y","Y","N","N",0,"Released_Permit_Boundaries",0,"[1172]",162.73277787,93419.595465,140129.393194,186839.190914,93419.595465,140129.393194,186839.190914
