"Permit_ID","Permittee","Operator","Mine_Name","Bond_Amount","Avail_Bond","Mine_Status","Bond_Status","Mine_Type","Acres","Acres_Dist","Acres_Orig","Acres_Recl","Expir_Date","Issue_Date","PMLU","PMLU_2","Post_SMCRA","Vio_Active","Vio_Total","WebLink","Full_Bond","Highwall_IDs","Highwall_Length","Highwall_Cost_Min","Highwall_Cost_Mid","Highwall_Cost_Max","Min_Deficit","Mid_Deficit","Max_Deficit"
"S000279","ALEX ENERGY, INC.","SILVER CREEK MINING INC",NA,0,0,"Phase III Release","Released","Coal Surface Mine",530,530,530,530,1998-01-26,1979-01-08,"Hayland or Pasture","Forestland",1,-999,2,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S000279&dep_office_id=OMR&responsible_party_name=ALEX ENERGY, INC.",0,"[1584]",135.773705,48363.60702,72545.41053,96727.21405,48363.60702,72545.41053,96727.21405
"S500707","APPALACHIAN RESOURCE WEST VIRGINIA, LLC","","GRAPEVINE EAST SURFACE MINE",748896,748896,"AM-Active, Moving Coal","Bonded","Coal Surface Mine",534.73,0,342.3,331.52,2028-08-19,2008-08-19,"Forestland",NA,1,-999,41,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S500707&dep_office_id=OMR&responsible_party_name=APPALACHIAN RESOURCE WEST VIRGINIA, LLC",748896,"[1612, 1615]",1364.86382604,741520.17319,1112280.25987,1483040.34643,-7375.82681000012,363384.25987,734144.34643
"S501404","APPALACHIAN RESOURCE WEST VIRGINIA, LLC","","REMINING NO. 3 SURFACE MINE",5900834,5900834,"IA-Approved inactive Status","Bonded","Coal Surface Mine",1345.74,308.3,1175.28,65.72,2026-04-03,2006-04-03,"Forestland",NA,1,3,33,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S501404&dep_office_id=OMR&responsible_party_name=APPALACHIAN RESOURCE WEST VIRGINIA, LLC",5900834,"[1581, 1555, 1582, 1570, 1585, 1569]",5828.5244616,1999198.9989132,2998798.4984989,3998397.997826,-3901635.0010868,-2902035.5015011,-1902436.002174
"S500811","APPALACHIAN RESOURCE WEST VIRGINIA, LLC","Central Appalachia Mining, LLC","Millseat Surface Mine",2115000,2115000,"IA-Approved inactive Status","Bonded","Coal Surface Mine",589.56,94.47,395.28,78.72,2027-12-06,2012-12-06,"Forestland",NA,1,1,18,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S500811&dep_office_id=OMR&responsible_party_name=APPALACHIAN RESOURCE WEST VIRGINIA, LLC",2115000,"[1610, 1609, 1602, 1604]",3616.5554202,1526055.076866,2289082.615275,3052110.153831,-588944.923134,174082.615275,937110.153831001
"S500821","APPALACHIAN RESOURCE WEST VIRGINIA, LLC","","Mauchlinville Branch Surface Mine",1324680,1324680,"IA-Approved inactive Status","Bonded","Coal Surface Mine",530.44,-999,530.44,-999,2028-04-10,2023-04-10,"Forestland",NA,1,3,6,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S500821&dep_office_id=OMR&responsible_party_name=APPALACHIAN RESOURCE WEST VIRGINIA, LLC",1324680,"[1565, 1545]",782.36317996,354586.68001,531880.01998,709173.35998,-970093.31999,-792799.98002,-615506.64002
"O502192","ARGUS ENERGY WV, LLC","","PARKER BRANCH KIAH CREEK HAULR",18000,18000,"A3-Active, Reclaimed","Bonded","Other - Haulroad Only",17.42,12.01,17.42,0,2028-06-01,1993-06-01,NA,NA,1,-999,9,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=O502192&dep_office_id=OMR&responsible_party_name=ARGUS ENERGY WV, LLC",18000,"[1391]",274.60801965,69895.249431,104842.87416,139790.49888,51895.249431,86842.87416,121790.49888
"S401311","BAYSTAR COAL COMPANY, INC.","","Newhall Surface Mine No. 2",921120,921120,"AM-Active, Moving Coal","Bonded","Coal Surface Mine",325.61,118.17,149.9,79.01,2028-12-05,2013-12-05,"Forestland",NA,1,2,22,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S401311&dep_office_id=OMR&responsible_party_name=BAYSTAR COAL COMPANY, INC.",921120,"[2055]",126.92515791,27314.68685,40972.03027,54629.37369,-893805.31315,-880147.96973,-866490.62631
"S011685","BIRCH RIVER RESOURCES, LLC","","LOWER MUDDLETY #1",759360,759360,"A4-Active, No coal removed","Bonded","Coal Surface Mine",411.07,111.62,314.01,49.33,2025-12-11,1985-12-11,"Fish and Wildlife Habitat/Recreation","Forestland",1,21,50,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S011685&dep_office_id=OMR&responsible_party_name=BIRCH RIVER RESOURCES, LLC",759360,"[2429]",864.80719605,384655.89895,576983.84848,769311.79783,-374704.10105,-182376.15152,9951.79783000005
"S306386","BIRCH RIVER RESOURCES, LLC","","LOWER MUDDLETY #2",928200,928200,"AM-Active, Moving Coal","Bonded","Coal Surface Mine",359.21,290.62,379.36,220.12,2022-08-01,1987-06-02,"Fish and Wildlife Habitat/Recreation",NA,1,13,38,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S306386&dep_office_id=OMR&responsible_party_name=BIRCH RIVER RESOURCES, LLC",928200,"[2427, 2430]",1020.03752253,530975.7840085,796463.6760472,1061951.5680159,-397224.2159915,-131736.3239528,133751.5680159
"S501200","BLACK CASTLE MINING COMPANY, LLC","","LAXARE EAST SURFACE MINE",3614020,3614020,"IA-Approved inactive Status","Bonded","Coal Surface Mine",1408.9,247.62,1560.71,975.26,2028-06-17,2003-06-17,"Forestland","Fish and Wildlife Habitat/Recreation",1,-999,49,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S501200&dep_office_id=OMR&responsible_party_name=BLACK CASTLE MINING COMPANY, LLC",3614020,"[1988, 1982, 1989, 1972, 1974]",3778.12902906,2471121.898446,3706682.847654,4942243.796456,-1142898.101554,92662.8476539999,1328223.796456
