Permit_ID,Company,Status_Code,Status,Inspectable,Increment,Bond_ID,Bond_Type,Bond_Institution,Current_Bond_Acreage,Original_Bond_Amount,Current_Bond_Amount
2360258,WESTERN COAL CORP,RC,Permit Released,,1,437E5313,,TRAVELERS INDEMNITY CO,0,275000,0
2365066,HITE PREPERATION COMPANY,RC,Permit Released,,1,80844797,,FEDERAL INSURANCE COMPANY,0,5000,0
2365066,HITE PREPERATION COMPANY,RC,Permit Released,,1,28,,FIRST GUARANTY NATIONAL MARTIN,0,5000,0
2580229,ADDINGTON BROS MINING INC,RC,Permit Released,,1,M891744423KY,,INS CO OF NORTH AMERICA,0,152000,0
2580247,SAARCAR COAL INC,RC,Permit Released,,1,M891744430KY,,INS CO OF NORTH AMERICA,0,182000,0
2587000,SAARCAR COAL INC,RC,Permit Released,,1,M891744703KY,,INS CO OF NORTH AMERICA,0,29000,0
2605027,NATIONAL MINES CORPORATION,RC,Permit Released,,1,5670216,,AMERICAN CASUALTY COMPANY,0,8000,0
2665011,SHAMROCK COAL COMPANY INCORPORATED,RC,Permit Released,,1,80804536,,FEDERAL INSURANCE COMPANY,0,9000,0
2665011,SHAMROCK COAL COMPANY INCORPORATED,RC,Permit Released,,1,3448132,,FIREMENS FUND INS CO,0,9000,0
2665042,SHAMROCK COAL COMPANY INCORPORATED,RC,Permit Released,,1,80804545,,FEDERAL INSURANCE COMPANY,0,114000,0
2665042,SHAMROCK COAL COMPANY INCORPORATED,RC,Permit Released,,1,3448128,,FIREMENS FUND INS CO,0,114000,0
2800216,MARTIN COUNTY COAL CORPORATION,RC,Permit Released,,1,832707,,TRAVELERS CASUALTY & SURETY CO,0,62500,0
2800216,MARTIN COUNTY COAL CORPORATION,RC,Permit Released,,1,832720,,TRAVELERS CASUALTY & SURETY CO,0,62500,0
2800216,MARTIN COUNTY COAL CORPORATION,RC,Permit Released,,1,SU28744,,UTICA MUTUAL INS CO,0,108340,0
2970442,KENTUCKY PRINCE COAL CORP,RC,Permit Released,,1,GP480933,,AMERICAN DRUGGIST LIQUADATOR,0,87780,0
2970442,KENTUCKY PRINCE COAL CORP,RC,Permit Released,,1,BND3123,,BUCKEYE UNION INS,0,90000,0
2970442,KENTUCKY PRINCE COAL CORP,RC,Permit Released,,1,SI1344,,OLD REPUBLIC INS CO,0,15000,0
2985095,MCCOY ELKHORN COAL CORPORATION,RC,Permit Released,,1,559E9367,,TRAVELERS INDEMNITY CO,0,5000,0
2985096,MCCOY ELKHORN COAL CORPORATION,RC,Permit Released,,1,559E9379,,TRAVELERS INDEMNITY CO,0,5000,0
2985098,JOHNS CREEK ELKHORN COAL CORP,RC,Permit Released,,1,2246,,FIRST NATIONAL BANK BELCHER,0,5000,0
2985098,JOHNS CREEK ELKHORN COAL CORP,RC,Permit Released,,1,599E9656,,TRAVELERS INDEMNITY CO,0,5000,0
2985291,CRESCENT INDUSTRIES INC,RC,Permit Released,,1,2967135,,SAFECO INSURANCE CO OF AMERICA,0,132000,0
2987015,CANEY BRANCH COAL CO,RC,Permit Released,,1,5998013,,FIDELITY & DEPOSIT COMPANY,0,10000,0
4585016,SAARCAR COAL INC,RC,Permit Released,,1,K00961310213KY,,INS CO OF NORTH AMERICA,0,59100,0
4670091,BISMARCK COAL INC,RC,Permit Released,,1,80990249,,FEDERAL INSURANCE COMPANY,0,271000,0
4670091,BISMARCK COAL INC,RC,Permit Released,,1,80990281,,FEDERAL INSURANCE COMPANY,0,14300,0
4670150,BISMARCK COAL INC,RC,Permit Released,,1,80990257,,FEDERAL INSURANCE COMPANY,0,76800,0
4670150,BISMARCK COAL INC,RC,Permit Released,,2,395467015002,,LYNDON PROPERTY INSURANCE CO,0,47700,0
4670150,BISMARCK COAL INC,RC,Permit Released,,1,20524395,,PNC BANK OF LOUISVILLE,0,13300,0
4670150,BISMARCK COAL INC,RC,Permit Released,,1,208833750,,PNC BANK OF LOUISVILLE,0,1100,0
4670150,BISMARCK COAL INC,RC,Permit Released,,2,5220589098,,PNC BANK OF LOUISVILLE,0,47700,0
4670150,BISMARCK COAL INC,RC,Permit Released,,2,7198220,,PNC BANK OF LOUISVILLE,0,103500,0
4978005,RAY COAL CO,RC,Permit Released,,1,125856,,AMERICAN HOME ASSURANCE CO,0,146600,0
4978005,RAY COAL CO,RC,Permit Released,,1,81051436,,FEDERAL INSURANCE COMPANY,0,145400,0
4985059,KENERCO CORPORATION,SF,,,1,B157092,,UNION INDEMNITY INS LIQUADATOR,0,15100,0
6805002,WOLF CREEK COLLIERIES COMPANY,RC,Permit Released,,1,SU36803,,UTICA MUTUAL INS CO,0,17900,0
6985095,MCCOY ELKHORN COAL CORPORATION,RC,Permit Released,,1,61S100201616,,TRAVELERS CASUALTY SURETY CO,0,10000,0
6985095,MCCOY ELKHORN COAL CORPORATION,RC,Permit Released,,1,029850F1007,,TRAVELERS INDEMNITY CO,0,10000,0
8070331,DEBRA LYNN COALS INC,RC,Permit Released,,6,150016556,,COMMERCIAL BANK MIDDLESBORO,0,18800,0
