PermitID,Company,Mine_Status,Bond_Amount,Bond_Type,Bonding_Institution,Bond_Purpose,Bond_Rate,Current_Acres,Full_Incr,Permit_Status
S301300,UPPER KANAWHA VALLEY DEVELOPMENT CORP,"A3-Active, Reclaimed","115,000.00",Escrow,* No Bonding Company found,PERF,"1,000.00",35.2,Incr,RV
U016483,"CARETTA MINING, INC.","A3-Active, Reclaimed","14,139.98",CD,"AMERIBANK, INC.",PERF,"2,760.00",13.35,Full,RN
U400891,"CARETTA MINING, INC.","AM-Active, Moving Coal","1,009.00",CD,"AMERIBANK, INC.",PERF,"2,760.00",0.36,Full,RN
U400891,"CARETTA MINING, INC.","AM-Active, Moving Coal","13,453.20",CD,"AMERIBANK, INC.",PERF,"2,760.00",0.72,Full,RN
U401993,"CARETTA MINING, INC.",PV-Phase1 release(60%revegetation or MR-12),"10,000.00",CD,"AMERIBANK, INC.",PERF,"1,000.00",3.87,Full,P1
U016483,"CARETTA MINING, INC.","A3-Active, Reclaimed","2,600.00",Cshrs Chk,"AMERIBANK, INC.",PERF,"2,760.00",1.38,Full,RN
U016483,"CARETTA MINING, INC.","A3-Active, Reclaimed","2,600.00",Cshrs Chk,"AMERIBANK, INC.",PERF,"2,760.00",0.93,Full,RN
U400891,"CARETTA MINING, INC.","AM-Active, Moving Coal","10,600.00",Cshrs Chk,"AMERIBANK, INC.",PERF,"2,760.00",5.12,Full,RN
U071800,H & S COAL COMPANY,"RC-Reclaimed, but Chemical treatment of water","10,000.00",Surety,"AMERICAN CASUALTY COMPANY OF READING, PENNSYLVANIA",PERF,"1,000.00",4.66,Full,NW
S304086,"WHITE RIDGE COAL COMPANY, INC.",PV-Phase1 release(60%revegetation or MR-12),"44,800.00",Surety,AMERICAN INSURANCE COMPANY,PERF,"1,000.00",111.08,Full,P1
P200123,ARK LAND LLC,PR-Prospecting < 250 tons,"3,500.00",Surety,ARCH INSURANCE COMPANY - NJ,PERF,500.00,7,Full,NW
P200124,ARK LAND LLC,PR-Prospecting < 250 tons,"1,000.00",Surety,ARCH INSURANCE COMPANY - NJ,PERF,500.00,2,Full,NW
D018400,HAWTHORNE COAL COMPANY LLC,"A3-Active, Reclaimed","345,280.00",Surety,ARCH INSURANCE COMPANY - NJ,PERF,"1,960.00",26.5,Incr,IN
O009583,"ICG BECKLEY, LLC","A4-Active, No coal removed","385,560.00",Surety,ARCH INSURANCE COMPANY - NJ,PERF,"2,860.00",125.91,Full,RN
O308487,"ICG BECKLEY, LLC","RC-Reclaimed, but Chemical treatment of water","14,000.00",Surety,ARCH INSURANCE COMPANY - NJ,PERF,"1,000.00",14,Full,RN
S201492,"ICG EASTERN, LLC","A3-Active, Reclaimed","43,800.00",Surety,ARCH INSURANCE COMPANY - NJ,PERF,"1,000.00",106.45,Full,P1
R072800,JULIANA MINING COMPANY LLC,"RC-Reclaimed, but Chemical treatment of water","408,280.00",Surety,ARCH INSURANCE COMPANY - NJ,PERF,"3,460.00",111.4,Full,IN
U503197,MINGO LOGAN COAL LLC,"AM-Active, Moving Coal","300,000.00",Surety,ARCH INSURANCE COMPANY - NJ,SUBSI,"2,600.00",0,Full,RN
U503197,MINGO LOGAN COAL LLC,"AM-Active, Moving Coal","813,800.00",Surety,ARCH INSURANCE COMPANY - NJ,PERF,"2,600.00",312.62,Full,RN
O200117,"SHELBY RUN MINING COMPANY, LLC",NS-Not Started,"13,760.00",Surety,ARCH INSURANCE COMPANY - NJ,PERF,"3,340.00",4,Incr,RN
O011383,WOLF RUN MINING LLC,"A4-Active, No coal removed","1,515,900.00",Surety,ARCH INSURANCE COMPANY - NJ,PERF,"3,260.00",461.73,Full,RN
U001583,WOLF RUN MINING LLC,"AM-Active, Moving Coal","392,600.00",Surety,ARCH INSURANCE COMPANY - NJ,PERF,"1,800.00",209.45,Full,RN
U001984,WOLF RUN MINING LLC,PV-Phase1 release(60%revegetation or MR-12),"67,377.42",Surety,ARCH INSURANCE COMPANY - NJ,PERF,"1,566.91",80.6,Full,P1
P200223,ARK LAND LLC,PR-Prospecting < 250 tons,"1,000.00",Surety,ARGONAUT INSURANCE COMPANY,PERF,500.00,2,Full,NW
P201023,ARK LAND LLC,PR-Prospecting < 250 tons,"2,000.00",Surety,ARGONAUT INSURANCE COMPANY,PERF,500.00,4,Full,NW
U001184,CONSOL MINING COMPANY LLC,"A3-Active, Reclaimed","285,500.00",Surety,ARGONAUT INSURANCE COMPANY,PERF,"2,100.00",235.8,Full,RN
U301195,"ICG BECKLEY, LLC","AM-Active, Moving Coal","83,204.00",Surety,ARGONAUT INSURANCE COMPANY,MIT,"2,600.00",0,Full,RN
U301195,"ICG BECKLEY, LLC","AM-Active, Moving Coal","143,000.00",Surety,ARGONAUT INSURANCE COMPANY,PERF,"2,600.00",54.75,Full,RN
U301195,"ICG BECKLEY, LLC","AM-Active, Moving Coal","359,600.00",Surety,ARGONAUT INSURANCE COMPANY,PERF,"2,900.00",123.86,Full,RN
U301195,"ICG BECKLEY, LLC","AM-Active, Moving Coal","103,680.00",Surety,ARGONAUT INSURANCE COMPANY,PERF,"1,920.00",53.95,Full,RN
U200406,"ICG TYGART VALLEY, LLC","AM-Active, Moving Coal","7,423,877.00",Surety,ARGONAUT INSURANCE COMPANY,WQUAL,0.00,0,Incr,RN
U200406,"ICG TYGART VALLEY, LLC","AM-Active, Moving Coal","73,000.00",Surety,ARGONAUT INSURANCE COMPANY,SUBSI,0.00,0,Incr,RN
U200406,"ICG TYGART VALLEY, LLC","AM-Active, Moving Coal","25,000.00",Surety,ARGONAUT INSURANCE COMPANY,SUBSI,0.00,0,Incr,RN
U200406,"ICG TYGART VALLEY, LLC","AM-Active, Moving Coal","142,183.00",Surety,ARGONAUT INSURANCE COMPANY,SUBSI,0.00,0,Incr,RN
U013983,LAUREL RUN MINING COMPANY LLC,"RC-Reclaimed, but Chemical treatment of water","81,480.00",Surety,ARGONAUT INSURANCE COMPANY,PERF,"3,880.00",21,Full,RN
U500111,MINGO LOGAN COAL LLC,NS-Not Started,"91,200.00",Surety,ARGONAUT INSURANCE COMPANY,PERF,"2,280.00",39.5,Full,RN
S102192,PATRIOT MINING COMPANY LLC,"A3-Active, Reclaimed","158,400.00",Surety,ARGONAUT INSURANCE COMPANY,PERF,"1,600.00",58.4,Full,RN
