Permit_ID,Permittee,Type,Issue_Date,Facility_Name,Current_Status,Bond_Status
S004185,LOADOUT LLC,Coal Surface Mine,05/15/1985,,Active,Bonded
U502589,"ACTIVE RESOURCES, INC.",Coal Underground,08/24/1989,,Active,Bonded
U505687,"RAMACO RESOURCES, LLC",Coal Underground,12/08/1987,,Active,Bonded
R067900,"GAULEY EAGLE HOLDINGS, INC.",Other,01/18/1981,TIOGA REFUSE,Active,Bonded
O002184,"LEXINGTON COAL COMPANY, LLC",Other - Refuse Disposal,04/11/1984,,Active,Bonded
Q302286,"APPALACHIAN AGGREGATES, LLC",Quarry,02/02/1986,,Active,Bonded
U401994,"PRIME MET, INC.",Coal Underground,05/11/1995,DOUGLAS NO 1 DEEP MINE,Active,Bonded
I057300,BENHAM GROUP LTD ET AL,Coal Surface Mine,05/31/1988,,Closed,Not Bonded
U012183,BENHAM GROUP LTD ET AL,Coal Underground,06/14/1983,,Closed,Not Bonded
U602486,BENHAM GROUP LTD ET AL,Coal Underground,03/06/1987,,Closed,Not Bonded
U009600,"BOONE RESOURCES, INC.",Coal Underground,05/26/1977,,Closed,Not Bonded
Z002081,CHERRY POND COAL CO.,Coal Surface Mine,01/18/1981,,Closed,Not Bonded
U048800,"COAL MART, INC.",Coal Underground,11/19/1979,,Closed,Not Bonded
U601288,"EASTERN ENERGY INVESTMENTS, INC.",Coal Underground,10/24/1988,,Closed,Not Bonded
U007100,GLADE CREEK COAL COMPANY INCORPORATED,Coal Underground,09/10/1984,,Closed,Not Bonded
S012185,GOLD STAR MINING CORPORATION,Coal Surface Mine,12/30/1985,,Closed,Not Bonded
U008385,GOLD STAR MINING CORPORATION,Coal Underground,12/30/1985,,Closed,Not Bonded
D008982,"KESSCOAL, INC.",Coal Underground,08/02/1982,,Closed,Not Bonded
P600589,"KESSCOAL, INC.",Prospect,03/01/1989,,Closed,Not Bonded
U000383,"KESSCOAL, INC.",Coal Underground,01/07/1983,,Closed,Not Bonded
P016482,"KESSLER COALS, INC",Prospect,04/01/1986,,Closed,Not Bonded
P600386,"KESSLER COALS, INC",Prospect,04/10/1986,,Closed,Not Bonded
S004885,"KESSLER COALS, INC",Coal Surface Mine,05/31/1985,,Closed,Not Bonded
U000483,"KESSLER COALS, INC",Coal Underground,01/07/1983,,Closed,Not Bonded
U020283,"KESSLER COALS, INC",Coal Underground,11/10/1983,,Closed,Not Bonded
S015369,LEE MINING CORPORATION,Coal Surface Mine,02/04/1969,,Closed,Not Bonded
U016100,MANILA MINING COMPANY,Coal Underground,09/27/1977,,Closed,Not Bonded
S009883,"MCCLURE'S EXCAVATING, INC.",Coal Surface Mine,11/28/1983,,Closed,Not Bonded
U011500,"MIDWEST CONSOLIDATED COAL COMPANY, INC.",Coal Underground,06/17/1977,,Closed,Not Bonded
U003183,"MULLINS COAL COMPANY, INC.",Coal Underground,02/10/1983,,Closed,Not Bonded
U007884,"MULLINS COAL COMPANY, INC.",Coal Underground,10/01/1984,,Closed,Not Bonded
U001885,"NEW RIVER FUEL, INC.",Coal Underground,03/15/1985,,Closed,Not Bonded
U003983,"NEW RIVER FUEL, INC.",Coal Underground,02/10/1983,,Closed,Not Bonded
U058500,SHARPLES ASSOCIATES COAL CO,Coal Underground,07/01/1980,,Closed,Not Bonded
P004178,STALLION MINING CORPORATION,Prospect,06/27/1978,,Closed,Not Bonded
S008877,STALLION MINING CORPORATION,Coal Surface Mine,06/13/1977,,Closed,Not Bonded
U053500,TONEY'S BRANCH COAL COMPANY,Coal Underground,02/29/1980,,Closed,Not Bonded
S603286,ALPHAINE CORP,Coal Surface Mine,10/09/1986,,Closed,Not Bonded
U023200,ATLAS MINING INC.,Coal Underground,01/24/1978,,Closed,Not Bonded
