"statistic","Kentucky","Virginia","West Virginia","Total"
"avg_height",15.3238638663428,17.3180197943486,17.5740055188681,16.6526473847908
"avg_height_weighted",15.8692526390775,17.7680531383422,18.1730764817145,17.1956166566672
"num_highwalls",433,172,288,893
"median_num_segments",3,2,4,3
"unrec_highwalls",248,75,245,568
"reveg_highwalls",185,97,43,325
"bonded_highwalls",246,112,258,616
"forfeited_highwalls",43,6,4,53
"released_highwalls",128,54,25,207
"notbonded_highwalls",16,0,1,17
"num_segments",1552,654,1766,3972
"hw_length_km",114.06771178107,43.84125418712,129.10911726728,287.01808323547
"min_cost",52107625.3163114,25394591.4806045,78682005.205753,156184222.002669
"mid_cost",78161437.975107,38091887.2210232,118023007.806991,234276333.003121
"max_cost",104215250.633031,50789182.961433,157364010.409931,312368444.004395
"avg_max_age",23.64896073903,25.6162790697674,19.5381944444444,22.7021276595745
"avg_min_age",18.0092378752887,21.9418604651163,14.7708333333333,17.7222844344905
"avg_mid_age",20.8290993071593,23.7790697674419,17.1545138888889,20.2122060470325
"avg_age_uncertainty",2.81986143187067,1.83720930232558,2.38368055555555,2.48992161254199
"num_hw_permits",258,85,145,488
"num_hw_companies",134,39,60,224
"released_permits",95,35,19,149
"forfeited_permits",28,4,4,36
"bonded_permits",123,46,121,290
"notbonded_permits",12,0,1,13
"avail_bond",181151141,83125875,234856660.51,499133676.51
"full_bond",183525941,83541475,234856660.51,501924076.51
"min_deficit",-131418315.683689,-58146883.5193955,-156174655.304247,-345739854.507331
"mid_deficit",-105364503.024893,-45449587.7789768,-116833652.703009,-267647743.506879
"max_deficit",-79310690.3669692,-32752292.038567,-77492650.1000694,-189555632.505606
"positive_min_deficit",17529838.0681853,8513386.7265929,21329601.8303998,47372826.625178
"positive_mid_deficit",29203577.5407509,14640798.2398964,39561392.7826103,83405768.5632576
"positive_max_deficit",43861816.4084158,22295317.7414289,62853480.0320786,129010614.181923
"bonds",183525941,83541475,234856660.51,501924076.51
"hw_cost",78161437.975107,38091887.2210232,118023007.806991,234276333.003121
"highwall_percentage",42.5887684047385,45.5963785904225,50.2532087234399,46.6756515511472
"avg_hw_percentage",33.786193334692,25.5081650682403,29.6367849653961,31.0230304753533
"total_bankrupted",145,50,59,254
"bonded_bankrupted",48,12,35,95
"unbonded_bankrupted",97,38,24,159
"avg_underbonded_deficit",204093.079202769,308639.567825917,995106.390925037,508724.908400213
